earth science > biosphere > ecological dynamics > species/population interactions > population dynamics, Count: 1, Level 5

earth science > climate indicators > biospheric indicators > breeding productivity, Count: 1, Level 4

earth science > biological classification > animals/vertebrates > birds, Count: 3, Level 4

earth science > land surface > soils > soil bulk density, Count: 1, Level 4

earth science > atmosphere > aerosols > aerosol extinction, Count: 1, Level 4

earth science > oceans > aquatic sciences > fisheries, Count: 1, Level 4

earth science > human dimensions > boundaries > administrative divisions, Count: 1, Level 4

earth science > biological classification > animals/vertebrates > mammals, Count: 1, Level 4

earth science > cryosphere > sea ice > ice temperature, Count: 1, Level 4

earth science > atmosphere > aerosols > particulate matter, Count: 1, Level 4

earth science > terrestrial hydrosphere > ground water > ground water features > water table > water table depth, Count: 1, Level 6

earth science services > models > ocean general circulation models (ogcm)/regional ocean models, Count: 1, Level 3

earth science > oceans > sea ice > sea ice motion, Count: 1, Level 4

earth science > oceans > ocean circulation > ocean currents, Count: 1, Level 4

earth science services > models > cryosphere models, Count: 1, Level 3

earth science > atmosphere > atmospheric electricity > electric field, Count: 1, Level 4

earth science > human dimensions > human settlements > coastal areas, Count: 1, Level 4

Level 1: 76
Level 2: 0
Level 3: 17
Level 4: 134
Level 5: 87
Level 6: 24
